2018-11-26 13:02:49.302 [main] INFO  com.rui.cn.CloudProvider1Application - No active profile set, falling back to default profiles: default
2018-11-26 13:03:00.009 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2018-11-26 13:03:00.055 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2018-11-26 13:03:00.056 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.31
2018-11-26 13:03:00.071 [localhost-startStop-1] INFO  org.apache.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\jdk1.8\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;D:\MAVEN\maven3.9\bin;D:\GIT\Git\cmd;C:\Program Files\jdk1.8\bin;C:\Program Files\jdk1.8\jre\bin;C:\Program Files\play1.27\play-1.2.7;D:\RabbitMq\erl9.3\bin;D:\RabbitMq\RabbitMQ Server\rabbitmq_server-3.3.4\sbin;\\HZEDAD\Filesreload\zhangruilin\Desktop\natapp_windows_amd64_2_3_7;;.]
2018-11-26 13:03:01.059 [localhost-startStop-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2018-11-26 13:03:02.239 [localhost-startStop-1] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2018-11-26 13:03:02.239 [localhost-startStop-1] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2018-11-26 13:03:02.309 [localhost-startStop-1] INFO  com.netflix.config.DynamicPropertyFactory - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@241c58f6
2018-11-26 13:03:08.638 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2018-11-26 13:03:08.638 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2018-11-26 13:03:13.504 [main] INFO  com.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2018-11-26 13:03:14.030 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
2018-11-26 13:03:14.030 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
2018-11-26 13:03:14.794 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
2018-11-26 13:03:14.794 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
2018-11-26 13:03:15.821 [main] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2018-11-26 13:03:16.115 [main] INFO  com.netflix.discovery.DiscoveryClient - Disable delta property : false
2018-11-26 13:03:16.115 [main] INFO  com.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2018-11-26 13:03:16.116 [main] INFO  com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2018-11-26 13:03:16.116 [main] INFO  com.netflix.discovery.DiscoveryClient - Application is null : false
2018-11-26 13:03:16.116 [main] INFO  com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2018-11-26 13:03:16.116 [main] INFO  com.netflix.discovery.DiscoveryClient - Application version is -1: true
2018-11-26 13:03:16.117 [main] INFO  com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2018-11-26 13:03:17.340 [main] INFO  com.netflix.discovery.DiscoveryClient - The response status is 200
2018-11-26 13:03:17.351 [main] INFO  com.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 10
2018-11-26 13:03:17.362 [main] INFO  com.netflix.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2018-11-26 13:03:17.376 [main] INFO  com.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1543208597371 with initial instances count: 11
2018-11-26 13:03:17.394 [main] INFO  com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1543208597394, current=UP, previous=STARTING]
2018-11-26 13:03:17.400 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CLOUD-PROVIDER/cloud-provider-8001: registering service...
2018-11-26 13:03:17.455 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8001"]
2018-11-26 13:03:17.519 [main] INFO  org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2018-11-26 13:03:17.608 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CLOUD-PROVIDER/cloud-provider-8001 - registration status: 204
2018-11-26 13:03:17.609 [main] INFO  com.rui.cn.CloudProvider1Application - Started CloudProvider1Application in 36.159 seconds (JVM running for 55.078)
2018-11-26 13:03:19.322 [RMI TCP Connection(4)-127.0.0.1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2018-11-26 13:04:16.699 [main] INFO  com.rui.cn.CloudProvider2Application - No active profile set, falling back to default profiles: default
2018-11-26 13:04:27.425 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8002"]
2018-11-26 13:04:27.487 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2018-11-26 13:04:27.487 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.31
2018-11-26 13:04:27.503 [localhost-startStop-1] INFO  org.apache.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\jdk1.8\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;D:\MAVEN\maven3.9\bin;D:\GIT\Git\cmd;C:\Program Files\jdk1.8\bin;C:\Program Files\jdk1.8\jre\bin;C:\Program Files\play1.27\play-1.2.7;D:\RabbitMq\erl9.3\bin;D:\RabbitMq\RabbitMQ Server\rabbitmq_server-3.3.4\sbin;\\HZEDAD\Filesreload\zhangruilin\Desktop\natapp_windows_amd64_2_3_7;;.]
2018-11-26 13:04:28.134 [localhost-startStop-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2018-11-26 13:04:29.474 [localhost-startStop-1] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2018-11-26 13:04:29.474 [localhost-startStop-1] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2018-11-26 13:04:29.532 [localhost-startStop-1] INFO  com.netflix.config.DynamicPropertyFactory - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@2da19494
2018-11-26 13:04:36.037 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
